num,日期,備轉容量(MW),備轉容量率(%),溫度
0,2021/1/1,2767,10.76,13.26666667
1,2021/1/2,2936,11.52,14.3625
2,2021/1/3,3037,11.92,17.94583333
3,2021/1/4,3032,10.2,18.15416667
4,2021/1/5,3067,10.21,16.65833333
5,2021/1/6,3102,10.23,15.1125
6,2021/1/7,3102,10.17,11.9375
7,2021/1/8,3105,10.21,7.633333333
8,2021/1/9,3202,11.41,9.1375
9,2021/1/10,2906,10.66,12.78333333
10,2021/1/11,3093,10.08,11.07083333
11,2021/1/12,3116,10.17,10.04583333
12,2021/1/13,3114,10.38,13.25
13,2021/1/14,3132,10.43,14.68333333
14,2021/1/15,3310,11.2,15.15416667
15,2021/1/16,3046,11.23,17.225
16,2021/1/17,3035,11.36,13.5375
17,2021/1/18,3157,10.55,14.18333333
18,2021/1/19,3159,10.53,17.15416667
19,2021/1/20,3149,10.5,20.89166667
20,2021/1/21,3074,10.15,22.04583333
21,2021/1/22,3097,10.29,22.54166667
22,2021/1/23,3203,11.77,19.90416667
23,2021/1/24,3073,11.95,17.76666667
24,2021/1/25,3269,10.97,18.59166667
25,2021/1/26,3219,10.75,18.34583333
26,2021/1/27,3064,10.36,18.42916667
27,2021/1/28,3286,11.12,15.94583333
28,2021/1/29,3203,10.94,15.08333333
29,2021/1/30,3447,12.93,18.05416667
30,2021/1/31,2906,11.41,17.55833333
31,2021/2/1,2938,10.12,17.69583333
32,2021/2/2,3045,10.24,16.60833333
33,2021/2/3,3006,10.15,19.03333333
34,2021/2/4,3132,10.56,20.00833333
35,2021/2/5,3060,10.45,20.8125
36,2021/2/6,3066,11.49,19.35833333
37,2021/2/7,2763,10.66,20.8375
38,2021/2/8,3047,10.92,19.30833333
39,2021/2/9,2880,11.03,17.34583333
40,2021/2/10,2888,11.85,21.1875
41,2021/2/11,2833,12.8,18.82083333
42,2021/2/12,2992,13.65,19.9125
43,2021/2/13,3024,13.77,19.05833333
44,2021/2/14,2911,12.97,18.40416667
45,2021/2/15,2645,11.27,18.61666667
46,2021/2/16,3002,12.15,20.64166667
47,2021/2/17,2824,10.13,15.47916667
48,2021/2/18,2907,10.19,14.42916667
49,2021/2/19,2885,10.08,15.2875
50,2021/2/20,2975,10.86,16.05
51,2021/2/21,3139,12.43,17.16666667
52,2021/2/22,2989,10.18,18.7125
53,2021/2/23,3109,10.39,20.93333333
54,2021/2/24,3049,10.15,23.38333333
55,2021/2/25,3029,10.07,22.52083333
56,2021/2/26,3041,10.23,20.50833333
57,2021/2/27,2758,10.42,16.775
58,2021/2/28,2672,10.68,17.79166667
59,2021/3/1,2832,10.66,21.2
60,2021/3/2,3221,10.95,16.27083333
61,2021/3/3,3075,10.36,17.00416667
62,2021/3/4,3088,10.37,17.84166667
63,2021/3/5,3268,10.94,20.65833333
64,2021/3/6,2805,10.42,17.97083333
65,2021/3/7,2752,10.67,17.82083333
66,2021/3/8,3110,10.45,18.13333333
67,2021/3/9,3048,10.18,19.9875
68,2021/3/10,3055,10.22,19.37916667
69,2021/3/11,3077,10.24,21.72916667
70,2021/3/12,3272,10.93,20.12083333
71,2021/3/13,3075,11.48,19.12083333
72,2021/3/14,2933,11.44,20.60833333
73,2021/3/15,3074,10.22,21.74583333
74,2021/3/16,3087,10.06,22.76666667
75,2021/3/17,3183,10.36,21.75833333
76,2021/3/18,3214,10.46,0
